=== JACCARD LEXICAL OVERLAP ANALYSIS ===

Status         Score   Jaccard  Query
---------------------------------------------------------------------------
REFUSED       0.7694    0.0909  को है बोलिवर, टी.एन.
REFUSED       0.7280    0.2222  हम जनगणना ब्यूरो संख्या हैं
REFUSED       0.7364    0.0588  क्या आप बांग्ला नामक भाषा बोल सकते हैं?
REFUSED       0.7166    0.0000  एम्यूएड होम्योपैथिक क्या है?
REFUSED       0.7888    0.1250  कौन सी काउंटी आर्डेन एन.सी. है
REFUSED       0.7908    0.0938  कौन सी काउंटी बेलमोंट सीए है
ANSWERED      0.6908    0.0938  आइसो सेंसर का क्या अर्थ है
ANSWERED      0.9119    0.1429  व्यवसाय प्रक्रिया प्रबंधन क्या है
ANSWERED      0.8438    0.1224  नकारात्मक प्रतिक्रिया हृदय गति को कैसे नियंत्
ANSWERED      0.7904    0.1905  पहली श्रेणी का यौन उत्पीड़न क्या है
ANSWERED      0.8448    0.1111  शोध समन्वयक के लिए वेतन सीमा
ANSWERED      0.7861    0.2222  उपशीर्षक के साथ साहित्य समीक्षा कैसे लिखें
ANSWERED      0.8834    0.0545  औसत वेश्यावृत्ति शुल्क
ANSWERED      0.8707    0.1000  कौन सा वाद्य यंत्र बीथोवेन बजाया जाता है
ANSWERED      0.6888    0.0909  मातृभूमि सुरक्षा विभाग की आवश्यकता है
ANSWERED      0.9194    0.1333  त्वचा की जांच क्या है
ANSWERED      0.8704    0.0465  मनुष्य और चिम्पांजी वंशानुगत रूप से कैसे संबं
ANSWERED      0.7856    0.0000  आर्द्रता के आंकड़े एकत्र करने के लिए किस उपकर
